Реєстр вулиць та інших поіменованих елементів міської вулично-дорожньої мережі міста Києва;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Унікальний цифровий код об'єкта;Повне офіційне найменування об'єкта;Категорія (тип) об'єкта;Адміністративний район;Документ про присвоєння найменування об'єкта;Реквізити документу про найменування обєкту вулично-дорожньої мережі;;;Місце розташування об'єкта на території міста;Колишні найменування об'єкта;;;;;;;;;;;;;;;;;;;
;;;;;;Дата документу про присвоєння найменування об'єкта;Номер документу про присвоєння найменування об'єкта;Заголовок документу про присвоєння найменування об'єкта;;Найменування об'єкта;Категорія (тип) об'єкта;;;;;;;;;;;;;;;;;;
1;10411;9-го Травня;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;16.12.1974;1476;Про впорядкування найменувань та перейменування вулиць м. Києва;Пролягає від Трублаїні, вул. до Відрадного просп. ;;;;;;;;;;;;;;;;;;;;
2;11969;Абрикосова;вулиця;Оболонський;Рішення Київської міської ради   ;14.07.2011;374/5761;«Про найменування вулиць в Оболонському районі м. Києва»;Пролягає у новому мікрорайоні на схід від Богатирської вул. паралельно Сетомльській вул.;;;;;;;;;;;;;;;;;;;;
3;12173;Абрикосова;вулиця;Дарницький;Лист;15.01.2014;333/0/02-14;"п. 50 Листа ДП ""Інформаційний центр"" Міністерства юстиції України";Пролягає від безіменного озера до оз. Підбірна, паралельно вул. Міжозерна;;;;;;;;;;;;;;;;;;;;
4;11970;Абрикосова;вулиця;Подільський;-;-;-;-;Пролягає від Стеценка, вул. до Івана Виговського, вул. ;;;;;;;;;;;;;;;;;;;;
5;10300;Августина Волошина;вулиця;Солом’янський;Рішення Київської міської ради;12.10.2017;185/3192;«Про перейменування вулиці у Солом'янському районі»;Пролягає від Польової вул. до Відрадного просп. ;Галана Ярослава;вулиця;;;;;;;;;;;;;;;;;;
6;10001;Авдєєнка Генерала;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;10.09.1968;1494;Про найменування та перейменування вулиць м. Києва;Пролягає від Сім'ї Стешенків, вул. до Верховинця Василя, вул.;;;;;;;;;;;;;;;;;;;;
7;10002;Автозаводська;вулиця;Оболонський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;Про найменування міських вулиць;Пролягає від Резервної вул. і Добринінської вул. до Полярної вул. ;;;;;;;;;;;;;;;;;;;;
8;10003;Автозаводський ;провулок;Оболонський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Вишгородської вул. до Автозаводської вул.;;;;;;;;;;;;;;;;;;;;
9;10004;Автопаркова;вулиця;Дарницький;Рішення виконавчого комітету Київської міської ради народних депутатів;22.07.1985;611;Про найменування та перейменування вулиць м. Києва;Пролягає від Світлої вул. до кінця забудови. ;;;;;;;;;;;;;;;;;;;;
